"Unix time","Rel. Time","Beam Current (mA)","Counts 34","Counts 35","Current 34 (mA)","Current 35 (mA)","Time 34 (ps)","Accuracy 45 (ps)","Time 35 (ps)","Accuracy 35 (ps)"
1479332240,6644,0.854,0.034704069232186,0.817,0.034813040265977,0.819186959734023,430.687750982358,0.807368870300117,428.541507837096,0.390498461006853
1479332305,6709,0.85,0.0341616860648,0.814,0.034254225652634,0.815745774347366,431.923868974991,0.76417547707659,430.389095604497,0.368856085802012
1479332370,6774,0.8465,0.034487678907108,0.81,0.034586812879141,0.811913187120859,429.93370438677,0.877211179353116,428.445001958167,0.394520325353289
1479332436,6840,0.841756367502813,0.03466524080094,0.805,0.034762615072852,0.80699375242996,432.868231133924,0.909764814817917,430.189796521233,0.446572672135299
1479332513,6917,0.8359003299802,0.035010699711196,0.799,0.035104848599478,0.800795481380722,432.865545710243,0.812358051142641,431.670673243303,0.39460148442417
1479332580,6984,0.831772303529833,0.034629720314853,0.795,0.034729302544371,0.797043000985463,432.980986912838,0.773065558478504,431.255361245647,0.452415296157838
1479332646,7050,0.828442282192692,0.035922776032035,0.79,0.036035125172317,0.792407157020374,432.667519959608,0.829616236019582,431.09773971139,0.376842403919055
1479332712,7116,0.824314255742325,0.035283844228841,0.786,0.035397463364342,0.788916792377983,433.641670323681,0.762407166896193,430.747183427471,0.473790423043702
1479332778,7182,0.819448224563187,0.034330110000061,0.783,0.034437370903051,0.785010853660136,430.268196257813,0.998450451066549,429.88243592346,0.412646989080146
1479332845,7249,0.814702194152955,0.034012252325977,0.778262746804642,0.034113885848654,0.780588308304301,432.01692877318,0.749037286910763,429.626309357388,0.360665297366192
1479332912,7316,0.810694168471494,0.034215722936012,0.774,0.034309510201447,0.776384658270047,433.984224734957,0.839009058814111,430.438229932776,0.436270274093032
1479332978,7382,0.806932144366291,0.035219707785405,0.769,0.035318871348644,0.771613273017648,436.079554420985,0.787377122660906,432.640293607165,0.40354101626823
1479333045,7449,0.802678117108574,0.034420105255772,0.766,0.034518514342886,0.768159602765688,433.345673276833,0.761598944825788,431.968103898754,0.389793824596456
1479333111,7515,0.797440083545827,0.033239754604759,0.761,0.033352707777511,0.764087375768315,433.700732524642,0.920620450846976,430.843958251629,0.456348003460309
1479333178,7582,0.795286069743964,0.033885432429557,0.759,0.033977424824984,0.76130864491898,432.386622778324,0.702112306784417,431.380695134408,0.4434330925419
1479333245,7649,0.790786040909989,0.034368324204641,0.754,0.034467733879679,0.75631830703031,431.378651468222,0.918124813322506,429.97357951964,0.419635241095081
1479333311,7715,0.787336018803941,0.034523481357663,0.751,0.034619407146533,0.752716611657409,432.691848687511,0.847702901456984,430.126764639482,0.375774430755491
1479333378,7782,0.780987978128814,0.033077508160926,0.746,0.033178454092176,0.747809524036638,433.97332464653,0.584563452617772,430.686298771747,0.417910529229696
1479333445,7849,0.779877971016434,0.032821916645344,0.745,0.032915116915282,0.746962854101152,432.218034409416,0.79941468348154,429.352592123564,0.350123989901117
1479333512,7916,0.775563943374263,0.033936146197544,0.739,0.034035801662855,0.741528141711408,434.361355458947,0.876900054870324,431.994376000574,0.459143343258224
1479333578,7982,0.769953907427907,0.033229138467258,0.735,0.033322584897885,0.736631322530023,431.990065673801,0.874004603519438,430.468006268157,0.372116965892244
1479333645,8049,0.770139908619712,0.032555557653377,0.735,0.03266968042199,0.737470228197722,434.621897742645,0.794295636613627,430.691587212792,0.413921222850541
1479333712,8116,0.761259851720668,0.034178949580569,0.725,0.034283738687066,0.726976113033602,432.100371108362,0.899443348012731,430.084931999474,0.393644091351274
1479333780,8184,0.758733835535196,0.032969846867069,0.723,0.033071954871931,0.725661880663266,433.3397690326,0.747739911010995,430.409621662989,0.415954597622235
1479333846,8250,0.755901817389015,0.034278703733697,0.719,0.034384889323226,0.721516928065789,432.169076604453,0.89381040288748,429.562572834769,0.446305751978021
1479333913,8317,0.749979779443504,0.032961163541091,0.715,0.033063135827387,0.716916643616117,432.509878016077,0.959735413368955,430.6501106024,0.415211226333104
1479333981,8385,0.74640975656855,0.032576650301383,0.712,0.032676163948626,0.713733592619924,432.75265237952,0.953708754856758,430.235877912338,0.385876665697418
1479334048,8452,0.742893734039604,0.032500710379596,0.708,0.032597961741153,0.710295772298452,434.629877547621,0.850071518645115,431.804772518888,0.412850361524764
1479334114,8518,0.740799720622195,0.031434728852741,0.707,0.031546560468744,0.709253160153451,431.17958186204,0.79152707611325,430.232855669928,0.395942617905656
1479334182,8586,0.736791694940734,0.032951832824796,0.701,0.03306368657299,0.703728008367744,432.490672158579,0.892766776547691,430.013903918436,0.46259851323447
1479334249,8653,0.730689655841864,0.032289553565502,0.696,0.032377377721218,0.698312278120646,430.673349627611,0.755518912526008,429.328023087876,0.492691934877904
1479334298,8702,0.731,0.031954314503162,0.697,0.032062231113406,0.698937768886594,430.511829508205,0.888037239207997,429.552127218855,0.385751848613999
1479334359,8763,0.7275,0.03291792,0.692,0.033030664668736,0.694469335331264,430.83789028438,0.771594792641622,429.552572505671,0.388138366967583
1479334419,8823,0.725,0.031422220313138,0.691,0.031512912744739,0.693487087255261,431.420547830413,0.751793186990179,429.851633330273,0.357503240344475
1479334479,8883,0.72,0.032265145435221,0.686,0.032357790781145,0.687642209218855,432.391085720781,0.621597517318359,429.852455179614,0.483022617869483
1479334540,8944,0.7175,0.031739943213837,0.683,0.03184762515767,0.685652374842329,432.418430594055,0.700150368473147,430.595826576706,0.50846338093752
1479334601,9005,0.7145,0.032689950231381,0.68,0.032788720059553,0.681711279940448,432.408802549276,0.807785545055742,430.746214227213,0.494666891154202
1479334662,9066,0.711,0.031431757184316,0.677,0.031523930408141,0.679476069591859,431.624871188845,0.893943544910045,430.140419646392,0.416146924453436
1479334723,9127,0.7095,0.033022940942797,0.674,0.033131888935633,0.676368111064367,432.644271317372,1.0071804487089,429.717101594079,0.391743022291628
1479334784,9188,0.7065,0.031337815659329,0.673,0.031436187026671,0.675063812973329,433.928311965417,0.713455543982592,431.208206002864,0.435552393926992
1479334845,9249,0.7015,0.032039289044807,0.667,0.032144204851752,0.669355795148248,433.101512167056,0.902335569183938,431.305880099544,0.374445421899823
1479334907,9311,0.6995,0.032465191003213,0.665,0.032577134924544,0.666922865075456,432.270448983886,0.894810936693956,430.425513229451,0.368463701861505
1479335030,9434,0.6925,0.030813008590793,0.659,0.030916725420183,0.661583274579818,430.585314418636,0.91376440573421,429.513391766761,0.357014935454784
1479335153,9557,0.686,0.031545469125902,0.652,0.031642619107812,0.654357380892188,431.720410215846,0.697157147729964,429.658750601206,0.420057220006054
1479335278,9682,0.6805,0.032188895057017,0.646,0.032282981882293,0.648217018117707,433.532541817357,0.892834594780904,431.204995502739,0.423335262081831
1479335402,9806,0.674,0.032091523540577,0.64,0.032200343738387,0.641799656261613,432.514290847479,0.704194029890598,429.754964189542,0.419623286931909
1479335527,9931,0.668,0.032155882831949,0.634,0.032248920829736,0.635751079170264,433.124300719427,0.769816243107634,432.316061038932,0.464925529911392
1479335652,10056,0.663,0.031211348915798,0.63,0.031314967860422,0.631685032139578,434.835954774286,0.823738337143726,432.556063732264,0.41071668813989
1479335776,10180,0.6565,0.030753182023648,0.624,0.030853008568633,0.625646991431367,431.784589923865,0.753890499475338,431.172066455318,0.432529454550344
1479335902,10306,0.651,0.031468609865471,0.617,0.031577476714649,0.619422523285351,433.7776386662,0.800497842138349,430.550193481267,0.372205358243409
1479336027,10431,0.6455,0.02966380457129,0.614,0.029766036453656,0.615733963546344,433.639410885689,0.843916092366455,431.378852656266,0.435276986749372
1479336152,10556,0.639,0.03043455085849,0.607,0.030524525141041,0.608475474858959,433.1975288205,1.02586305365112,432.04927732863,0.454665855318376
1479336277,10681,0.6335,0.031524584487535,0.6,0.031621563957527,0.601878436042473,434.101266839107,0.742943393307602,431.969893766947,0.446232415822638
1479336403,10807,0.629,0.030925963690624,0.596,0.031020854641156,0.597979145358844,432.721394199831,0.949974482909865,431.462449461805,0.413434357415075
1479336528,10932,0.623,0.029348602988954,0.592,0.029433193814381,0.593566806185619,432.716794498546,0.791852170465711,432.21080747729,0.408275516271725
1479336654,11058,0.6175,0.030292336186615,0.585,0.030407255734492,0.587092744265508,432.471560972701,0.883502486464386,432.314538495589,0.445949133238906
1479336780,11184,0.6125,0.03048508129355,0.58,0.030570130534937,0.581929869465063,434.767635781611,0.895556463429728,430.897108745867,0.469114678207803
1479336906,11310,0.607,0.03079938605995,0.574,0.030903017910757,0.576096982089243,432.011409593159,0.954047149856348,430.561173891121,0.401866016889557
1479337032,11436,0.6015,0.029942531731346,0.569535171622925,0.030043540794979,0.571456459205021,432.88477734076,0.635130258830612,431.364184781785,0.49497103957019
1479337159,11563,0.596,0.029480948882125,0.564,0.029581863183949,0.566418136816051,432.234015444024,0.811269280988348,430.451206892471,0.348313298526666
1479337285,11689,0.5905,0.030722264728386,0.558,0.030822286924299,0.559677713075701,432.090792420397,0.731238003814861,431.416233410019,0.458798236405809
1479337411,11815,0.585,0.030117317111708,0.553,0.030229561493934,0.554770438506066,434.326940725171,0.986864379315937,431.904279760218,0.417291084791695
1479337538,11942,0.5805,0.029705590513069,0.549,0.029807385121826,0.550692614878174,432.555774693611,0.541405774510298,430.418023376788,0.475721732095505
1479337665,12069,0.5765,0.028541602693603,0.546,0.028637253047215,0.547862746952785,433.626791840538,0.964168369121131,431.427806734106,0.446062133202487
1479337791,12195,0.571,0.029074251000967,0.54,0.029169293847134,0.541830706152866,433.205139039728,0.870020686072139,431.242852393567,0.380185432585967
1479337919,12323,0.5665,0.028117473695808,0.536,0.028215395245992,0.538284604754008,431.619572217954,0.896797358877356,430.032305624792,0.389659202101429
1479338045,12449,0.5615,0.028397238163558,0.531,0.028503406352987,0.532996593647013,435.81693985206,0.963339645706726,433.426521094418,0.344330982433687
1479338173,12577,0.5555,0.030233831681505,0.523,0.030339158285104,0.525160841714896,434.575759459918,0.747790690350416,432.26632666368,0.371391298385631
1479338300,12704,0.552,0.029855843718424,0.52,0.029957585828147,0.522042414171853,433.678682293504,0.769666385488101,432.564783499302,0.517689475726971
1479338428,12832,0.547,0.028699075131309,0.517,0.028791947077522,0.518208052922478,434.281830612378,0.811580327194316,431.845807165686,0.357259604392825
1479338555,12959,0.543,0.029295215802695,0.512,0.02939506773981,0.51360493226019,434.300884641559,1.02419436507963,431.65796737695,0.372978298816164
1479338683,13087,0.538,0.028061179055715,0.508,0.028171954369975,0.509828045630025,431.327053404189,0.661395034526364,431.282029181801,0.411706703095311
1479338811,13215,0.5345,0.028392535223593,0.504,0.028489769933263,0.506010230066737,433.699310169047,0.766856572744145,433.400337419073,0.411387446737922
1479338939,13343,0.53,0.028954464364051,0.499,0.029048764743853,0.500951235256147,435.155099993793,0.769738593218555,432.794906438915,0.385188567979236
1479339005,13409,0.52439633401556,0.027754552639877,0.495,0.027846923400879,0.49654941061468,435.558016448752,0.908018635155551,434.646264046663,0.425659377229287
1479339126,13530,0.523220326480281,0.028436727240399,0.493,0.028540418615075,0.494679907865206,433.575850677045,0.82533141900021,432.642097350652,0.443248723019559
1479339192,13596,0.520448308718552,0.027685236686463,0.491,0.027776341961705,0.492671966756848,435.749811839358,1.29591282372191,433.56721068777,0.430533013750404
1479339258,13662,0.517490289765019,0.028829027837994,0.487,0.02893580520446,0.488554484560559,434.249240850463,0.644706646555743,433.027748349318,0.427332230115059
1479339324,13728,0.516194281460835,0.02900002667075,0.485413687215532,0.029100406006987,0.487093875453847,436.39906425895,0.701415095879948,434.271886961042,0.469911497291654
1479339388,13792,0.513728265659816,0.028779734865846,0.483348802078819,0.028869633719274,0.484858631940542,435.803595902215,0.787558850619996,434.130909043944,0.481441662588497
1479339454,13858,0.512312256586725,0.028581159292426,0.481953469755831,0.028680675863778,0.483631580722948,433.901494925038,0.716348974775962,433.087477321521,0.474074044341804
1479339519,13923,0.511328250281696,0.027876513568888,0.481836607235836,0.027964845960076,0.48336340432162,433.953882912533,0.809211441709347,433.076641277623,0.488836729093258
1479339586,13990,0.508124229751906,0.027976269077166,0.478454782812768,0.028069803625029,0.480054426126877,436.195983574933,0.743201461027183,434.919237840447,0.396706654272149
1479339649,14053,0.504422206031156,0.027997844982294,0.474949172729268,0.028079965150894,0.476342240880262,435.634048639415,0.80175384298759,434.247854474378,0.407375333297735
1479339715,14119,0.50460820722296,0.027540263673727,0.475134755124225,0.02764617806566,0.4769620291573,434.213055061932,1.05165945456566,434.34476435246,0.416602156310592
1479339782,14186,0.501464187077623,0.026957439838264,0.472631042684771,0.027058651524388,0.474405535553235,436.521495212531,0.776178400758594,433.6154066756,0.432389132281898
1479339848,14252,0.498938170892152,0.027330371144411,0.470104086757946,0.027412989132475,0.471525181759676,436.090879390079,1.08829090039787,433.390104278189,0.489110598354426
1479339912,14316,0.498260166547833,0.027419224352634,0.469094396337337,0.027515674743365,0.470744491804468,435.15072027283,1.02848175018841,433.368468612372,0.460607600677633
1479339978,14382,0.494684143634434,0.028419637295661,0.46468735562922,0.028510534508171,0.466173609126263,433.640398971193,1.05151674141419,432.824163274646,0.470176191480175
1479340044,14448,0.492650130601477,0.027888474347793,0.463358753453436,0.027968118194197,0.464682012407281,432.971672840992,0.728994023713892,431.821254938058,0.492983892585837
1479340111,14515,0.491108120721035,0.026333082138165,0.463060685434873,0.02642532728972,0.464682793431315,434.866670623379,0.646155467759964,432.141429672143,0.44574361330445
1479340174,14578,0.490988119952129,0.028192794514354,0.461033275780628,0.028294336739767,0.462693783212362,431.797082033469,0.845846268717825,431.642100405256,0.393846222384434
1479340241,14645,0.487292096269824,0.027442629470295,0.458180658250661,0.027536934038921,0.459755162230904,431.944787395054,0.953519551029383,431.134978432723,0.484900378653341
1479340307,14711,0.485318083621321,0.02764353067109,0.456118256072984,0.027732461921218,0.457585621700102,436.666410373206,0.850372626267081,434.123007337234,0.41366583950513
1479340374,14778,0.484394077700745,0.027305767936021,0.455318635208324,0.027405892012725,0.45698818568802,435.172642155791,0.940949066102252,433.12691289286,0.418853989809616
1479340438,14842,0.482666066628498,0.028207159543975,0.452848384108929,0.028301594124599,0.454364472503899,433.456862639275,0.620800496583534,430.94296209344,0.409945041333262
1479340504,14908,0.480386052019284,0.027381278302152,0.451365916856586,0.027475010435206,0.452911041584078,432.220323535873,0.867356564543297,431.735608242192,0.388106669436892
